"","date","n_correos"
"396",2010-02-18,25
"397",2010-02-19,14
"398",2010-02-20,4
"399",2010-02-21,11
"400",2010-02-22,6
"401",2010-02-23,8
"402",2010-02-24,19
"403",2010-02-25,12
"404",2010-02-26,31
"405",2010-02-27,4
"406",2010-02-28,1
"407",2010-03-01,14
"408",2010-03-02,1
"409",2010-03-03,10
"410",2010-03-04,4
"411",2010-03-05,4
"412",2010-03-06,4
"413",2010-03-07,2
"414",2010-03-08,2
"415",2010-03-09,4
"416",2010-03-10,0
"417",2010-03-11,12
"418",2010-03-12,4
"419",2010-03-13,2
"420",2010-03-14,1
"421",2010-03-15,0
"422",2010-03-16,2
"423",2010-03-17,9
"424",2010-03-18,16
"425",2010-03-19,3
"426",2010-03-20,0
"427",2010-03-21,1
"428",2010-03-22,0
"429",2010-03-23,11
"430",2010-03-24,6
"431",2010-03-25,15
"432",2010-03-26,1
"433",2010-03-27,0
"434",2010-03-28,1
"435",2010-03-29,14
"436",2010-03-30,6
"437",2010-03-31,6
"438",2010-04-01,2
"439",2010-04-02,2
"440",2010-04-03,2
"441",2010-04-04,1
"442",2010-04-05,0
"443",2010-04-06,10
"444",2010-04-07,6
"445",2010-04-08,2
"446",2010-04-09,5
"447",2010-04-10,3
"448",2010-04-11,4
"449",2010-04-12,11
"450",2010-04-13,1
"451",2010-04-14,9
"452",2010-04-15,2
"453",2010-04-16,0
"454",2010-04-17,1
"455",2010-04-18,19
"456",2010-04-19,5
"457",2010-04-20,10
"458",2010-04-21,7
"459",2010-04-22,9
"460",2010-04-23,13
"461",2010-04-24,5
"462",2010-04-25,1
"463",2010-04-26,14
"464",2010-04-27,4
"465",2010-04-28,13
"466",2010-04-29,4
"467",2010-04-30,0
"468",2010-05-01,0
"469",2010-05-02,0
"470",2010-05-03,0
"471",2010-05-04,4
"472",2010-05-05,5
"473",2010-05-06,4
"474",2010-05-07,1
"475",2010-05-08,0
"476",2010-05-09,0
"477",2010-05-10,0
"478",2010-05-11,0
"479",2010-05-12,0
"480",2010-05-13,5
"481",2010-05-14,4
"482",2010-05-15,0
"483",2010-05-16,0
"484",2010-05-17,0
"485",2010-05-18,1
"486",2010-05-19,4
"487",2010-05-20,2
"488",2010-05-21,0
"489",2010-05-22,1
"490",2010-05-23,1
"491",2010-05-24,1
"492",2010-05-25,0
"493",2010-05-26,0
"494",2010-05-27,1
"495",2010-05-28,3
"496",2010-05-29,2
"497",2010-05-30,0
"498",2010-05-31,1
"499",2010-06-01,0
"500",2010-06-02,0
"501",2010-06-03,0
"502",2010-06-04,0
"503",2010-06-05,0
"504",2010-06-06,0
"505",2010-06-07,1
"506",2010-06-08,8
"507",2010-06-09,0
"508",2010-06-10,0
"509",2010-06-11,1
"510",2010-06-12,0
"511",2010-06-13,0
"512",2010-06-14,0
"513",2010-06-15,0
"514",2010-06-16,0
"515",2010-06-17,3
"516",2010-06-18,0
"517",2010-06-19,1
"518",2010-06-20,0
"519",2010-06-21,2
"520",2010-06-22,4
"521",2010-06-23,2
"522",2010-06-24,1
"523",2010-06-25,8
"524",2010-06-26,0
"525",2010-06-27,1
"526",2010-06-28,1
"527",2010-06-29,4
"528",2010-06-30,7
"529",2010-07-01,1
"530",2010-07-02,2
"531",2010-07-03,1
"532",2010-07-04,0
"533",2010-07-05,1
"534",2010-07-06,0
"535",2010-07-07,0
"536",2010-07-08,0
"537",2010-07-09,0
"538",2010-07-10,0
"539",2010-07-11,0
"540",2010-07-12,0
"541",2010-07-13,0
"542",2010-07-14,2
"543",2010-07-15,4
"544",2010-07-16,3
"545",2010-07-17,0
"546",2010-07-18,1
"547",2010-07-19,1
"548",2010-07-20,0
"549",2010-07-21,3
"550",2010-07-22,2
"551",2010-07-23,0
"552",2010-07-24,0
"553",2010-07-25,3
"554",2010-07-26,6
"555",2010-07-27,8
"556",2010-07-28,0
"557",2010-07-29,1
"558",2010-07-30,2
"559",2010-07-31,2
"560",2010-08-01,1
"561",2010-08-02,4
"562",2010-08-03,2
"563",2010-08-04,3
"564",2010-08-05,4
"565",2010-08-06,2
"566",2010-08-07,0
"567",2010-08-08,0
"568",2010-08-09,1
"569",2010-08-10,2
"570",2010-08-11,4
"571",2010-08-12,2
"572",2010-08-13,1
"573",2010-08-14,0
"574",2010-08-15,0
"575",2010-08-16,1
"576",2010-08-17,12
"577",2010-08-18,6
"578",2010-08-19,4
"579",2010-08-20,0
"580",2010-08-21,0
"581",2010-08-22,8
"582",2010-08-23,3
"583",2010-08-24,0
"584",2010-08-25,2
"585",2010-08-26,6
"586",2010-08-27,0
"587",2010-08-28,1
"588",2010-08-29,2
"589",2010-08-30,3
"590",2010-08-31,5
"591",2010-09-01,9
"592",2010-09-02,9
"593",2010-09-03,3
"594",2010-09-04,1
"595",2010-09-05,0
"596",2010-09-06,1
"597",2010-09-07,3
"598",2010-09-08,10
"599",2010-09-09,12
"600",2010-09-10,2
"601",2010-09-11,10
"602",2010-09-12,9
"603",2010-09-13,0
"604",2010-09-14,3
"605",2010-09-15,1
"606",2010-09-16,8
"607",2010-09-17,20
"608",2010-09-18,3
"609",2010-09-19,2
"610",2010-09-20,3
"611",2010-09-21,4
"612",2010-09-22,8
"613",2010-09-23,5
"614",2010-09-24,3
"615",2010-09-25,9
"616",2010-09-26,14
"617",2010-09-27,8
"618",2010-09-28,15
"619",2010-09-29,2
"620",2010-09-30,2
"621",2010-10-01,0
"622",2010-10-02,0
"623",2010-10-03,7
"624",2010-10-04,9
"625",2010-10-05,9
"626",2010-10-06,17
"627",2010-10-07,9
"628",2010-10-08,10
"629",2010-10-09,5
"630",2010-10-10,3
"631",2010-10-11,1
"632",2010-10-12,17
"633",2010-10-13,16
"634",2010-10-14,1
"635",2010-10-15,0
"636",2010-10-16,1
"637",2010-10-17,0
"638",2010-10-18,3
"639",2010-10-19,3
"640",2010-10-20,6
"641",2010-10-21,0
"642",2010-10-22,0
"643",2010-10-23,2
"644",2010-10-24,5
"645",2010-10-25,10
"646",2010-10-26,4
"647",2010-10-27,7
"648",2010-10-28,7
"649",2010-10-29,5
"650",2010-10-30,5
"651",2010-10-31,1
"652",2010-11-01,4
"653",2010-11-02,8
"654",2010-11-03,3
"655",2010-11-04,0
"656",2010-11-05,4
"657",2010-11-06,0
"658",2010-11-07,1
"659",2010-11-08,0
"660",2010-11-09,1
"661",2010-11-10,5
"662",2010-11-11,5
"663",2010-11-12,2
"664",2010-11-13,6
"665",2010-11-14,2
"666",2010-11-15,0
"667",2010-11-16,5
"668",2010-11-17,4
"669",2010-11-18,4
"670",2010-11-19,2
"671",2010-11-20,0
"672",2010-11-21,2
"673",2010-11-22,1
"674",2010-11-23,1
"675",2010-11-24,2
"676",2010-11-25,1
"677",2010-11-26,4
"678",2010-11-27,5
"679",2010-11-28,2
"680",2010-11-29,0
"681",2010-11-30,2
"682",2010-12-01,1
"683",2010-12-02,1
"684",2010-12-03,2
"685",2010-12-04,16
"686",2010-12-05,2
"687",2010-12-06,4
"688",2010-12-07,1
"689",2010-12-08,2
"690",2010-12-09,2
"691",2010-12-10,0
"692",2010-12-11,0
"693",2010-12-12,0
"694",2010-12-13,2
"695",2010-12-14,9
"696",2010-12-15,6
"697",2010-12-16,4
"698",2010-12-17,9
"699",2010-12-18,8
"700",2010-12-19,7
"701",2010-12-20,9
"702",2010-12-21,3
"703",2010-12-22,6
"704",2010-12-23,7
"705",2010-12-24,1
"706",2010-12-25,0
"707",2010-12-26,0
"708",2010-12-27,7
"709",2010-12-28,1
"710",2010-12-29,0
"711",2010-12-30,2
"712",2010-12-31,0
"713",2011-01-01,0
"714",2011-01-02,8
"715",2011-01-03,3
"716",2011-01-04,4
"717",2011-01-05,2
"718",2011-01-06,2
"719",2011-01-07,9
"720",2011-01-08,2
"721",2011-01-09,1
"722",2011-01-10,0
"723",2011-01-11,7
"724",2011-01-12,3
"725",2011-01-13,1
"726",2011-01-14,3
"727",2011-01-15,0
"728",2011-01-16,0
"729",2011-01-17,2
"730",2011-01-18,2
"731",2011-01-19,0
"732",2011-01-20,11
"733",2011-01-21,3
"734",2011-01-22,0
"735",2011-01-23,12
"736",2011-01-24,10
"737",2011-01-25,8
"738",2011-01-26,4
"739",2011-01-27,4
"740",2011-01-28,0
"741",2011-01-29,0
"742",2011-01-30,1
"743",2011-01-31,7
"744",2011-02-01,6
"745",2011-02-02,3
"746",2011-02-03,2
"747",2011-02-04,0
"748",2011-02-05,1
"749",2011-02-06,1
"750",2011-02-07,9
"751",2011-02-08,5
"752",2011-02-09,2
"753",2011-02-10,22
"754",2011-02-11,15
"755",2011-02-12,1
"756",2011-02-13,2
"757",2011-02-14,9
"758",2011-02-15,19
"759",2011-02-16,9
"760",2011-02-17,5
"761",2011-02-18,1
"762",2011-02-19,5
"763",2011-02-20,2
"764",2011-02-21,1
"765",2011-02-22,10
"766",2011-02-23,18
"767",2011-02-24,3
"768",2011-02-25,9
"769",2011-02-26,4
"770",2011-02-27,1
"771",2011-02-28,8
"772",2011-03-01,11
"773",2011-03-02,0
"774",2011-03-03,0
"775",2011-03-04,6
"776",2011-03-05,0
"777",2011-03-06,13
"778",2011-03-07,5
"779",2011-03-08,11
"780",2011-03-09,13
"781",2011-03-10,4
"782",2011-03-11,4
"783",2011-03-12,6
"784",2011-03-13,1
"785",2011-03-14,4
"786",2011-03-15,2
"787",2011-03-16,15
"788",2011-03-17,8
"789",2011-03-18,7
"790",2011-03-19,7
"791",2011-03-20,1
"792",2011-03-21,1
"793",2011-03-22,3
"794",2011-03-23,0
"795",2011-03-24,0
"796",2011-03-25,14
